,index
1648,CCDC184
1649,CCDC186
1650,CCDC189
1651,CCDC191
1652,CCDC22
1653,CCDC25
1654,CCDC28A
1655,CCDC28B
1656,CCDC3
1657,CCDC32
1658,CCDC34
1659,CCDC42
1660,CCDC43
1661,CCDC47
1662,CCDC51
1663,CCDC57
1664,CCDC58
1665,CCDC59
1666,CCDC6
1667,CCDC60
1668,CCDC61
1669,CCDC62
1670,CCDC66
1671,CCDC68
1672,CCDC71L
1673,CCDC73
1674,CCDC77
1675,CCDC8
1676,CCDC80
1677,CCDC81
1678,CCDC82
1679,CCDC84
1680,CCDC85A
1681,CCDC85B
1682,CCDC86
1683,CCDC87
1684,CCDC88A
1685,CCDC88B
1686,CCDC89
1687,CCDC9
1688,CCDC90B
1689,CCDC91
1690,CCDC92
1691,CCDC92B
1692,CCDC93
1693,YJU2
1694,CCDC97
1695,CCHCR1
1696,CCK
1697,CCL1
1698,CCL11
1699,CCL2
1700,CCL17
1701,CCL13
1702,CCL24
1703,CCL25
1704,CCL28
1705,CCL3L3
1706,CCL4
1707,CCL5
1708,CCM2
1709,CCM2L
1710,CCNA2
1711,CCNB2
1712,CCNC
1713,CCND1
1714,CCND2
1715,CCND3
1716,CCNDBP1
1717,CCNE1
1718,CCNE2
1719,CCNF
1720,CCNG1
1721,CCNG2
1722,CCNH
1723,CCNI
1724,CCNJ
1725,CCNK
1726,CCNL1
1727,CCNL2
1728,CCNO
1729,CCNT1
1730,CCNT2
1731,CCNY
1732,CCNYL1
1733,CCP110
1734,CCPG1
1735,C15orf65
1736,CCR1
1737,CCR2
1738,CCR4
1739,CCR5
1740,CCR7
1741,CCR8
1742,CCRL2
1743,CCS
1744,CCSER1
1745,CCSER2
1746,CCT2
1747,CCT3
1748,CCT4
1749,CCT5
1750,CCT6A
1751,CCT7
1752,CCT8
1753,CD101
1754,CD109
1755,CD14
1756,CD151
1757,CD163
1758,CD164
1759,CD164L2
1760,CD177
1761,CD180
1762,CD1D
1763,CD2
1764,CD200
1765,CD200R1
1766,CLEC4M
1767,CD226
1768,CD244
1769,CD247
1770,CD248
1771,CD27
1772,CD274
1773,CD276
1774,CD28
1775,CD2AP
1776,CD2BP2
1777,CD300A
1778,CD300LB
1779,CD300LF
1780,CD300LG
1781,CD302
1782,CD320
1783,CD34
1784,CD36
1785,CD37
1786,CD38
1787,CD3D
1788,CD3E
1789,CD3EAP
1790,CD3G
1791,CD4
1792,CD40
1793,CD44
1794,CD46
1795,CD47
1796,CD48
1797,CD5
1798,CD53
1799,CD59
1800,CD6
1801,CD63
1802,CD68
1803,CD69
1804,CD7
1805,CD70
1806,CD72
1807,CD74
1808,CD79A
1809,CD81
1810,CD82
1811,CD83
1812,CD84
1813,CD86
1814,CD8A
1815,CD8B
1816,CD9
1817,CD93
1818,CD96
1819,CD99L2
1820,CDA
1821,CDADC1
1822,CDAN1
1823,CDC123
1824,CDC14A
1825,CDC14B
1826,CDC16
1827,CDC20
1828,CDC23
1829,CDC25A
1830,CDC25B
1831,CDC26
1832,CDC27
1833,CDC34
1834,CDC37
1835,CDC37L1
1836,CDC40
1837,CDC42BPA
1838,CDC42BPB
1839,CDC42BPG
1840,CDC42EP1
1841,CDC42EP2
1842,CDC42EP3
1843,CDC42EP4
1844,CDC42SE1
1845,CDC42SE2
1846,CDC45
1847,CDC5L
1848,CDC6
1849,CDC7
1850,CDC73
1851,CDCA2
1852,CDCA3
1853,CDCA4
1854,CDCA5
1855,CDCA7
1856,CDCA7L
1857,CDCA8
1858,CDCP1
1859,CDH1
1860,CDH11
1861,CDH13
1862,CDH15
1863,CDH2
1864,CDH26
1865,CDH3
1866,CDH4
1867,CDH5
1868,CDH6
1869,CDH9
1870,CDHR4
1871,CDIP1
1872,CDIPT
1873,CDK1
1874,CDK10
1875,CDK11A
1876,CDK12
1877,CDK13
1878,CDK14
1879,CDK15
1880,CDK16
1881,CDK17
1882,CDK18
1883,CDK19
1884,CDK2
1885,CDK20
1886,CDK2AP1
1887,CDK2AP2
1888,CDK4
1889,CDK5
1890,CDK5R1
1891,CDK5RAP1
1892,CDK5RAP2
1893,CDK5RAP3
1894,CDK6
1895,CDK7
1896,CDK8
1897,CDK9
1898,CDKAL1
1899,CDKL1
1900,CDKL2
1901,CDKL3
1902,CDKL5
1903,CDKN1A
1904,CDKN1B
1905,CDKN2A
1906,CDKN2AIP
1907,CDKN2AIPNL
1908,CDKN2B
1909,CDKN2C
1910,CDKN2D
1911,CDKN3
1912,CDNF
1913,CDO1
1914,CDON
1915,CDPF1
1916,CDR2
1917,CDR2L
1918,CDRT4
1919,CDS1
1920,CDS2
1921,CDT1
1922,CDYL
1923,CEBPA
1924,CEBPB
1925,CEBPD
1926,CEBPG
1927,CEBPZ
1928,CELA1
1929,CELF2
1930,CELF4
1931,CELSR1
1932,CELSR2
1933,CEMIP
1934,CEND1
1935,CENPA
1936,CENPB
1937,CENPC
1938,CENPF
1939,CENPH
1940,CENPJ
1941,CENPK
1942,CENPL
1943,CENPM
1944,CENPO
1945,CENPP
1946,CENPQ
1947,CENPT
1948,CENPU
1949,CENPV
1950,CENPW
1951,CENPX
1952,CEP104
1953,CEP112
1954,CEP120
1955,CEP126
1956,CEP128
1957,CEP131
1958,CEP135
1959,CEP162
1960,CEP164
1961,CEP170
1962,CEP170B
1963,CEP19
1964,CEP192
1965,CEP250
1966,CEP290
1967,CEP295
1968,CEP295NL
1969,CEP350
1970,CEP41
1971,CEP44
1972,CEP55
1973,CEP57
1974,CEP57L1
1975,CEP63
1976,CEP68
1977,CEP70
1978,CEP72
1979,CEP76
1980,CEP78
1981,CEP83
1982,CEP85
1983,CEP85L
1984,CEP89
1985,CEP95
1986,CEP97
1987,CEPT1
1988,CERCAM
1989,CERK
1990,CERS2
1991,CERS3
1992,CERS4
1993,CERS5
1994,CERS6
1995,CES1
1996,CETN2
1997,CETN3
1998,Gm7094
1999,CFAP126
2000,CFAP157
2001,CFAP20
2002,CFAP36
2003,CFAP43
2004,CFAP69
2005,CFAP74
2006,CFAP97
2007,CFB
2008,CFDP1
2009,CFH
2010,CFL1
2011,CFL2
2012,CFLAR
2013,CFP
2014,CGGBP1
2015,CGN
2016,CGNL1
2017,CGREF1
2018,CGRRF1
2019,CH25H
2020,CHAC2
2021,CHADL
2022,CHAF1A
2023,CHAF1B
2024,CHAMP1
2025,CHCHD1
2026,CHCHD10
2027,CHCHD3
2028,CHCHD4
2029,CHCHD5
2030,CHCHD6
2031,CHCHD7
2032,CHD1
2033,CHD1L
2034,CHD2
2035,CHD3
2036,CHD4
2037,CHD5
2038,CHD6
2039,CHD7
2040,CHD8
2041,CHD9
2042,CHEK2
2043,CHERP
2044,CHFR
2045,CHIC1
2046,CHIC2
2047,CHID1
2048,Chil4
2049,CHKA
2050,CHKB
2051,CHM
2052,CHML
2053,CHMP1A
2054,CHMP1B
2055,CHMP2A
2056,CHMP2B
2057,CHMP3
2058,CHMP4B
2059,CHMP4C
2060,CHMP5
2061,CHMP6
2062,CHMP7
2063,CHN1
2064,CHN2
2065,CHODL
2066,CHORDC1
2067,CHP1
2068,CHP2
2069,CHPF
2070,CHPF2
2071,CHPT1
2072,CHRAC1
2073,CHRD
2074,CHRDL1
2075,CHRM3
2076,CHRNA7
2077,CHRNB1
2078,CHRNB2
2079,CHRNE
2080,CHST1
2081,CHST10
2082,CHST11
2083,CHST12
2084,CHST14
2085,CHST15
2086,CHST2
2087,CHST3
2088,CHST7
2089,CHST8
2090,CHSY1
2091,CHTF18
2092,CHTF8
2093,CHUK
2094,CHURC1
2095,CIAO1
2096,CIAPIN1
2097,CIART
2098,CIB1
2099,CIB2
2100,CIB3
2101,CIC
2102,CILP
2103,CINP
2104,CIPC
2105,CIR1
2106,CIRBP
2107,CISD1
2108,CISD2
2109,CISH
2110,CIT
2111,CITED2
2112,CITED4
2113,CIZ1
2114,CKAP2L
2115,CKAP4
2116,CKAP5
2117,CKB
2118,CKLF
2119,CKS1B
2120,CKS2
2121,CLASP1
2122,CLASP2
2123,CLCA2
2124,Clca3a2
2125,CLCC1
2126,CLCF1
2127,CLCN2
2128,CLCN3
2129,CLCN4
2130,CLCN5
2131,CLCN6
2132,CLCN7
2133,CLDN1
2134,CLDN10
2135,CLDN11
2136,CLDN12
2137,CLDN15
2138,CLDN22
2139,CLDN23
2140,CLDN3
2141,CLDN4
2142,CLDN5
2143,CLDN7
2144,CLDN8
2145,CLDND1
2146,CLEC11A
2147,CLEC12A
2148,CLEC14A
2149,CLEC16A
2150,CLEC1A
2151,Clec2h
2152,CLEC3B
2153,ZNF705A
2154,CLEC4A
2155,CLEC4C
2156,CLEC4D
2157,CLEC4E
2158,CLEC4G
2159,CLEC6A
2160,CLEC5A
2161,CLEC7A
2162,CLEC9A
2163,CLIC1
2164,CLIC4
2165,CLINT1
2166,CLIP1
2167,CLIP2
2168,CLIP3
2169,CLIP4
2170,CLK1
2171,CLK2
2172,CLK3
2173,CLK4
2174,CLMN
2175,CLMP
2176,CLN3
2177,CLN5
2178,CLN6
2179,CLN8
2180,CLNK
2181,CLNS1A
2182,CLOCK
2183,CLP1
2184,CLPB
2185,CLPP
2186,CLPTM1
2187,CLPTM1L
2188,CLPX
2189,CLSPN
2190,CLSTN1
2191,CLSTN2
2192,CLTA
2193,CLTB
2194,CLTC
2195,CLU
2196,CLUAP1
2197,CLUH
2198,CLYBL
2199,CMA1
2200,CMAS
2201,CMBL
2202,CMC1
2203,CMC2
2204,CMIP
2205,CMKLR1
2206,CMPK1
2207,CMPK2
2208,CMSS1
2209,CMTM3
2210,CMTM4
2211,CMTM6
2212,CMTM7
2213,CMTM8
2214,CMTR1
2215,CMTR2
2216,CNBD2
2217,CNBP
2218,CNDP2
2219,CNEP1R1
2220,CNIH1
2221,CNIH4
2222,CNKSR1
2223,CNKSR3
2224,CNN1
2225,CNN2
2226,CNN3
2227,CNNM2
2228,CNNM3
2229,CNNM4
2230,CNOT1
2231,CNOT10
2232,CNOT11
2233,CNOT2
2234,CNOT3
2235,CNOT4
2236,CNOT6
2237,CNOT6L
2238,CNOT7
2239,CNOT8
2240,CNOT9
2241,CNP
2242,CNPPD1
2243,CNPY2
2244,CNPY3
2245,CNPY4
2246,CNRIP1
2247,CNST
2248,CNTD1
2249,CNTFR
2250,CNTLN
2251,CNTN1
2252,CNTN4
2253,CNTN6
2254,CNTNAP1
2255,CNTNAP2
2256,CNTNAP5
2257,CNTRL
2258,CNTROB
2259,COA3
2260,COA4
2261,COA5
2262,COA7
2263,COASY
2264,COBL
2265,COBLL1
2266,COG1
2267,COG2
2268,COG3
2269,COG4
2270,COG5
2271,COG6
2272,COG7
2273,COG8
2274,COIL
2275,COL11A1
2276,COL12A1
2277,COL13A1
2278,COL14A1
2279,COL15A1
2280,COL16A1
2281,COL18A1
2282,COL1A1
2283,COL1A2
2284,COL20A1
2285,COL23A1
2286,COL24A1
2287,COL26A1
2288,COL27A1
2289,COL3A1
2290,COL4A1
2291,COL4A2
2292,COL4A3
2293,COL4A3BP
2294,COL4A5
2295,COL4A6
2296,COL5A1
2297,COL5A2
2298,COL5A3
2299,COL6A1
2300,COL6A2
2301,COL6A3
2302,COL6A5
2303,COL7A1
2304,COL8A1
2305,COL8A2
2306,COL9A2
2307,COL9A3
2308,COLEC10
2309,COLEC11
2310,COLEC12
2311,COLGALT1
2312,COLGALT2
2313,COMMD1
2314,COMMD10
2315,COMMD2
2316,COMMD3
2317,COMMD4
2318,COMMD5
2319,COMMD7
2320,COMMD8
2321,COMMD9
2322,COMT
2323,COMTD1
2324,COPA
2325,COPB1
2326,COPB2
2327,COPE
2328,COPG1
2329,COPG2
2330,COPRS
2331,COPS3
2332,COPS4
2333,COPS5
2334,COPS6
2335,COPS7A
2336,COPS7B
2337,COPS8
2338,COPS9
2339,COPZ1
2340,COPZ2
2341,COQ10A
2342,COQ10B
2343,COQ2
2344,COQ3
2345,COQ4
2346,COQ5
2347,COQ6
2348,COQ7
2349,COQ8A
2350,COQ8B
2351,COQ9
2352,CORO1A
2353,CORO1B
2354,CORO1C
2355,CORO2A
2356,CORO2B
2357,COTL1
2358,COX10
2359,COX11
2360,COX14
2361,COX15
2362,COX16
2363,COX17
2364,COX18
2365,COX19
2366,COX20
2367,COX4I1
2368,COX4I2
2369,COX5A
2370,Gm34962
2371,COX6A1
2372,COX6B1
2373,COX6B2
2374,COX7A1
2375,COX7A2
2376,COX7A2L
2377,COX7B
2378,COX8A
2379,CP
2380,CPA2
2381,CPA6
2382,CPB1
2383,CPD
2384,CPE
2385,CPEB1
2386,CPEB2
2387,CPEB3
2388,CPEB4
2389,CPED1
2390,CPLX2
2391,CPNE2
2392,CPNE3
2393,CPNE7
2394,CPNE8
2395,CPOX
2396,CPPED1
2397,CPQ
2398,CPSF1
2399,CPSF2
2400,CPSF3
2401,CPSF4
2402,CPSF6
2403,CPSF7
2404,CPT1A
2405,CPT1C
2406,CPT2
2407,CPTP
2408,CPXM1
2409,CPXM2
2410,CPZ
2411,CR1L
2412,CRABP2
2413,CRACR2A
2414,CRACR2B
2415,CRADD
2416,CRAMP1
2417,CRAT
2418,CRBN
2419,CRCP
2420,CREB1
2421,CREB3
2422,CREB3L1
2423,CREB3L2
2424,CREB5
2425,CREBBP
2426,CREBL2
2427,CREBRF
2428,CREBZF
2429,CREG1
2430,CRELD1
2431,CRELD2
2432,CREM
2433,CRHBP
2434,CRHR2
2435,CRIM1
2436,CRIP1
2437,CRIPT
2438,CRISPLD1
2439,CRISPLD2
2440,CRK
2441,CRKL
2442,CRLF1
2443,CRLF2
2444,CRLF3
2445,CRLS1
2446,CRNKL1
2447,CROCC
2448,CROCC2
2449,CROT
2450,CRTAM
2451,CRTAP
2452,CRTC1
2453,CRTC2
2454,CRTC3
2455,CRY1
2456,CRY2
2457,CRYAB
2458,CRYBA4
2459,CRYBG3
2460,CRYGN
2461,CRYL1
2462,CRYZ
2463,CRYZL1
2464,CS
2465,CSAD
2466,CSDC2
2467,CSDE1
2468,CSE1L
2469,CSF1
2470,CSF1R
2471,CSF2RA
2472,CSF3R
2473,CSGALNACT1
2474,CSGALNACT2
2475,CSK
2476,CSNK1A1
2477,CSNK1D
2478,CSNK1E
2479,CSNK1G1
2480,CSNK1G2
2481,CSNK1G3
2482,CSNK2A1
2483,CSNK2A2
2484,CSNK2B
2485,CSPG4
2486,CSPG5
2487,CSPP1
2488,CSRNP1
2489,CSRNP3
2490,CSRP1
2491,CSRP2
2492,CST3
2493,CST6
2494,CST7
2495,CSTB
2496,CSTF1
2497,CSTF2
2498,CSTF2T
2499,CSTF3
2500,CTBP1
2501,CTBP2
2502,CTBS
2503,CTC1
2504,CTCF
2505,CTDNEP1
2506,CTDP1
2507,CTDSP1
2508,CTDSP2
2509,CTDSPL
2510,CTDSPL2
2511,CTF1
2512,CTGF
2513,CTH
2514,CTHRC1
2515,CTIF
2516,Ctla2b
2517,CTLA4
2518,CTNNA1
2519,CTNNA3
2520,CTNNAL1
2521,CTNNB1
2522,CTNNBIP1
2523,CTNNBL1
2524,CTNND1
2525,CTNND2
2526,CTNS
2527,CTPS1
2528,CTPS2
2529,CTR9
2530,CTRL
2531,CTSA
2532,CTSB
2533,CTSC
2534,CTSD
2535,CTSE
2536,CTSF
2537,CTSH
2538,CTSK
2539,CTSV
2540,CTSO
2541,CTSS
2542,CTSW
2543,CTSZ
2544,CTTN
2545,CTTNBP2
2546,CTTNBP2NL
2547,CTU1
2548,CTU2
2549,CTXN1
2550,CUEDC1
2551,CUEDC2
2552,CUL1
2553,CUL2
2554,CUL3
2555,CUL4A
2556,CUL4B
2557,CUL5
2558,CUL7
2559,CUL9
2560,CUTA
2561,CUTC
2562,CWC15
2563,CWC22
2564,CWC25
2565,CWC27
2566,CWF19L1
2567,CWF19L2
2568,CX3CL1
2569,CX3CR1
2570,CXADR
2571,CXCL2
2572,CXCL10
2573,CXCL12
2574,CXCL13
2575,CXCL14
2576,CXCL16
2577,CXCL3
2578,CXCR3
2579,CXCR4
2580,CXCR6
2581,CXXC1
2582,CXXC4
2583,CXXC5
2584,CYB561
2585,CYB561A3
2586,CYB561D1
2587,CYB561D2
2588,CYB5A
2589,CYB5B
2590,CYB5D1
2591,CYB5D2
2592,CYB5R1
2593,CYB5R2
2594,CYB5R4
2595,CYB5RL
2596,CYBA
2597,CYBB
2598,CYBRD1
2599,CYC1
2600,CYCS
2601,CYFIP1
2602,CYFIP2
2603,CYGB
2604,CYHR1
2605,CYLD
2606,CYP1A1
2607,CYP1B1
2608,CYP20A1
2609,CYP26B1
2610,CYP27A1
2611,CYP2F1
2612,CYP2J2
2613,CYP2R1
2614,CYP2S1
2615,CYP2U1
2616,CYP39A1
2617,CYP3A7
2618,CYP46A1
2619,CYP4B1
2620,CYP4F3
2621,CYP4F8
2622,Cyp4f37
2623,CYP4F2
2624,CYP4V2
2625,CYP51A1
2626,CYP7B1
2627,CYR61
2628,CYS1
2629,CYSLTR1
2630,CYSLTR2
2631,CYSRT1
2632,CYTH1
2633,CYTH2
2634,CYTH3
2635,CYTH4
2636,CYTIP
2637,CYTL1
2638,CYYR1
2639,C9orf40
2640,C12orf45
2641,C17orf80
2642,C21orf91
2643,C6orf47
2644,C6orf106
2645,C5orf30
2646,C16orf70
2647,D2HGDH
2648,ZNF267
2649,C4orf33
2650,KIAA0556
2651,KIAA0232
2652,KIAA1755
2653,C2orf80
2654,C9orf152
2655,KIAA1549
2656,C12orf4
2657,C19orf53
2658,DAAM1
2659,DAAM2
2660,DAB1
2661,DAB2
2662,DAB2IP
2663,DACH1
2664,DACT1
2665,DACT2
2666,DACT3
2667,DAD1
2668,DAG1
2669,DAGLA
2670,DAGLB
2671,DALRD3
2672,DAND5
2673,DAP
2674,DAP3
2675,DAPK1
2676,DAPK2
2677,DAPK3
2678,DAPL1
2679,DAPP1
2680,DARS
2681,DARS2
2682,DAXX
2683,DAZAP2
2684,DBF4
2685,DBI
2686,DBN1
2687,DBNDD2
2688,DBNL
2689,DBP
2690,DBR1
2691,DBT
2692,DCAF10
2693,DCAF11
2694,DCAF12
2695,DCAF13
2696,DCAF15
2697,DCAF17
2698,DCAF4
2699,DCAF5
2700,DCAF6
2701,DCAF7
2702,DCAF8
2703,DCAKD
2704,DCBLD1
2705,DCBLD2
2706,DCDC2B
2707,DCHS1
2708,DCK
2709,DCLK1
2710,DCLRE1B
2711,DCLRE1C
2712,DCN
2713,DCP1A
2714,DCP1B
2715,DCP2
2716,DCPS
2717,DCSTAMP
2718,DCTD
2719,DCTN1
2720,DCTN2
2721,DCTN3
2722,DCTN4
2723,DCTN5
2724,DCTN6
2725,DCTPP1
2726,DCUN1D1
2727,DCUN1D2
2728,DCUN1D3
2729,DCUN1D4
2730,DCUN1D5
2731,DCXR
2732,DDA1
2733,DDAH2
2734,DDB1
2735,DDB2
2736,DDHD1
2737,DDHD2
2738,DDI2
2739,DDIAS
2740,DDIT3
2741,DDIT4
2742,DDIT4L
2743,DDOST
2744,DDR1
2745,DDR2
2746,DDRGK1
2747,DDT
2748,DDX1
2749,DDX10
2750,DDX11
2751,DDX17
2752,DDX18
2753,DDX19A
2754,DDX19B
2755,DDX20
2756,DDX21
2757,DDX23
2758,DDX24
2759,DDX27
2760,DDX28
2761,DDX31
2762,DDX39A
2763,DDX39B
2764,DDX3X
2765,DDX41
2766,DDX42
2767,DDX46
2768,DDX47
2769,DDX49
2770,DDX5
2771,DDX50
2772,DDX51
2773,DDX52
2774,DDX54
2775,DDX55
2776,DDX56
2777,DDX58
2778,DDX59
2779,DDX6
2780,DDX60
2781,DEAF1
2782,DECR1
2783,DECR2
2784,DEDD
2785,DEDD2
2786,DEF6
2787,DEF8
2788,DEGS1
2789,DEGS2
2790,DEK
2791,DENND1A
2792,DENND1B
2793,DENND1C
2794,DENND2A
2795,DENND2D
2796,DENND3
2797,DENND4A
2798,DENND4B
2799,DENND4C
2800,DENND5A
2801,DENND5B
2802,DENND6A
2803,DENND6B
2804,DENR
2805,DEPDC5
2806,DEPDC7
2807,DEPTOR
2808,DERA
2809,DERL1
2810,DERL2
2811,DES
2812,DESI1
2813,DESI2
2814,DET1
2815,DEXI
2816,DFFA
2817,DFFB
2818,DGAT1
2819,DGAT2
2820,ESS2
2821,DGCR2
2822,DGCR8
2823,DGKA
2824,DGKB
2825,DGKD
2826,DGKE
2827,DGKQ
2828,DGKZ
2829,DGUOK
2830,DHCR24
2831,DHCR7
2832,DHDDS
2833,DHDH
2834,DHFR
2835,DHODH
2836,DHPS
2837,DHRS1
2838,DHRS11
2839,DHRS13
2840,DHRS3
2841,DHRS4
2842,DHRS7
2843,DHRS7B
2844,DHX15
2845,DHX16
2846,DHX29
2847,DHX30
2848,DHX32
2849,DHX33
2850,DHX34
2851,DHX35
2852,DHX36
2853,DHX37
2854,DHX38
2855,DHX40
2856,DHX57
2857,DHX58
2858,DHX8
2859,DHX9
2860,DIABLO
2861,DIAPH1
2862,DICER1
2863,DIDO1
2864,UTP25
2865,DIMT1
2866,DIO2
2867,DIP2A
2868,DIP2B
2869,DIP2C
2870,DIRAS2
2871,DIRC2
2872,DIS3
2873,DIS3L
2874,DIS3L2
2875,DISP1
2876,DIXDC1
2877,DKC1
2878,DKK2
2879,DKK3
2880,DKKL1
2881,DLAT
2882,DLC1
2883,DLD
2884,DLG1
2885,DLG3
2886,DLG4
2887,DLG5
2888,DLGAP1
2889,DLGAP4
2890,DLGAP5
2891,DLK1
2892,DLK2
2893,DLL1
2894,DLL4
2895,DLST
2896,DMAP1
2897,DMBT1
2898,DMC1
2899,DMD
2900,DMKN
2901,DMPK
2902,DMTF1
2903,DMTN
2904,DMWD
2905,DMXL1
2906,DMXL2
2907,DNAAF2
2908,DNAAF3
2909,DNAAF5
2910,DNAH1
2911,DNAH17
2912,DNAH9
2913,DNAI2
2914,DNAJA1
2915,DNAJA2
2916,DNAJA3
2917,DNAJA4
2918,DNAJB1
2919,DNAJB11
2920,DNAJB12
2921,DNAJB13
2922,DNAJB14
2923,DNAJB2
2924,DNAJB4
2925,DNAJB5
2926,DNAJB6
2927,DNAJB9
2928,DNAJC1
2929,DNAJC10
2930,DNAJC11
2931,DNAJC12
2932,DNAJC13
2933,DNAJC14
2934,DNAJC15
2935,DNAJC16
2936,DNAJC17
2937,DNAJC18
2938,DNAJC2
2939,DNAJC21
2940,DNAJC24
2941,DNAJC25
2942,DNAJC27
2943,DNAJC28
2944,DNAJC3
2945,DNAJC30
2946,DNAJC4
2947,DNAJC5
2948,DNAJC7
2949,DNAJC8
2950,DNAJC9
2951,DNAL1
2952,DNAL4
2953,DNASE1L1
2954,DNASE1L2
2955,DNASE1L3
2956,DNASE2
2957,DNER
2958,DNLZ
2959,DNM1
2960,DNM1L
2961,DNM2
2962,DNM3
2963,DNMBP
2964,DNMT1
2965,DNMT3A
2966,DNMT3B
2967,DNMT3L
2968,DNPEP
2969,DNPH1
2970,DNTTIP1
2971,DNTTIP2
2972,DOCK1
2973,DOCK10
2974,DOCK11
2975,DOCK2
2976,DOCK3
2977,DOCK5
2978,DOCK6
2979,DOCK7
2980,DOCK8
2981,DOCK9
2982,DOHH
2983,DOK1
2984,DOK2
2985,DOK3
2986,DOK4
2987,DOLK
2988,DOLPP1
2989,DONSON
2990,DOPEY1
2991,DOPEY2
2992,DOT1L
2993,DPAGT1
2994,DPEP1
2995,DPEP2
2996,DPF2
2997,DPF3
2998,DPH2
2999,DPH3
3000,DPH5
3001,DPH6
3002,DPH7
3003,DPM1
3004,DPM2
3005,DPM3
3006,DPP3
3007,DPP4
3008,DPP7
3009,DPP8
3010,DPP9
3011,DPT
3012,DPY19L1
3013,DPY19L3
3014,DPY19L4
3015,DPY30
3016,DPYD
3017,DPYSL2
3018,DPYSL3
3019,DPYSL4
3020,DR1
3021,DRAM1
3022,DRAM2
3023,DRAP1
3024,DRD4
3025,DRG1
3026,DRG2
3027,DROSHA
3028,DSCC1
3029,VPS26C
3030,DSE
3031,DSEL
3032,DSG2
3033,DSN1
3034,DSP
3035,DSTN
3036,DSTYK
3037,DTD1
3038,DTD2
3039,DTL
3040,DTNA
3041,DTNB
3042,DTNBP1
3043,DTWD1
3044,DTWD2
3045,DTX2
3046,DTX3
3047,DTX3L
3048,DTX4
3049,DTYMK
3050,DUOX1
3051,DUOXA1
3052,DUS1L
3053,DUS2
3054,DUS3L
3055,DUS4L
3056,DUSP1
3057,DUSP10
3058,DUSP11
3059,DUSP12
3060,DUSP14
3061,DUSP16
3062,DUSP18
3063,DUSP19
3064,DUSP2
3065,DUSP22
3066,DUSP23
3067,DUSP28
3068,DUSP3
3069,DUSP4
3070,DUSP5
3071,DUSP6
3072,DUSP7
3073,DUSP8
3074,DUSP9
3075,DUT
3076,DVL1
3077,DVL2
3078,DVL3
3079,DXO
3080,DYM
3081,DYNC1H1
3082,DYNC1LI1
3083,DYNC1LI2
3084,DYNC2H1
3085,DYNC2LI1
3086,DYNLL1
3087,DYNLL2
3088,DYNLRB1
3089,DYNLT3
3090,DYRK1A
3091,DYRK1B
3092,DYRK2
3093,DYRK3
3094,DYSF
3095,DNAAF4
3096,DZANK1
3097,DZIP1
3098,DZIP1L
3099,DZIP3
3100,C7orf26
3101,C3orf33
3102,E2F1
3103,E2F2
3104,E2F3
3105,E2F4
3106,E2F5
3107,E2F6
3108,KIAA1147
3109,E4F1
3110,EAF1
3111,EAPP
3112,EARS2
3113,EBAG9
3114,EBF1
3115,EBF2
3116,EBF3
3117,EBI3
3118,EBNA1BP2
3119,EBP
3120,EBPL
3121,ECD
3122,ECE1
3123,ECE2
3124,ECH1
3125,ECHDC1
3126,ECHDC2
3127,ECHDC3
3128,ECHS1
3129,ECI1
3130,ECI2
3131,ECM1
3132,ECM2
3133,ECSCR
3134,ECSIT
3135,ECT2
3136,EDA2R
3137,EDARADD
3138,EDC3
3139,EDC4
3140,EDEM1
3141,EDEM2
3142,EDEM3
3143,EDF1
3144,EDIL3
3145,EDN1
3146,EDN3
3147,EDNRA
3148,EDNRB
3149,EDRF1
3150,EEA1
3151,EED
3152,EEF1A1
3153,EEF1AKMT1
3154,EEF1B2
3155,EEF1D
3156,EEF1E1
3157,EEF1G
3158,EEF2
3159,EEF2K
3160,EEF2KMT
3161,EEFSEC
3162,EEPD1
3163,EFCAB1
3164,EFCAB14
3165,EFCAB2
3166,EFCC1
3167,EFEMP1
3168,EFEMP2
3169,EFHB
3170,EFHC1
3171,EFHD1
3172,EFHD2
3173,EFL1
3174,EFNA1
3175,EFNA2
3176,EFNA3
3177,EFNA4
3178,EFNA5
3179,EFNB1
3180,EFNB2
3181,EFR3A
3182,EFS
3183,EFTUD2
3184,EGFL6
3185,EGFL7
3186,EGFL8
3187,EGFLAM
3188,EGFR
3189,EGLN1
3190,EGLN2
3191,EGLN3
3192,EGR1
3193,EGR2
3194,EHBP1
3195,EHD1
3196,EHD2
3197,EHD3
3198,EHD4
3199,EHF
3200,EHHADH
3201,EHMT1
3202,EHMT2
3203,EI24
3204,EID1
3205,EID2
3206,EID2B
3207,EIF1AX
3208,EIF1AD
3209,EIF1AY
3210,EIF1B
3211,EIF2A
3212,EIF2AK1
3213,EIF2AK2
3214,EIF2AK3
3215,EIF2AK4
3216,EIF2B1
3217,EIF2B2
3218,EIF2B3
3219,EIF2B4
3220,EIF2B5
3221,EIF2D
3222,EIF2S1
3223,EIF2S2
3224,EIF2S3
3225,EIF3A
3226,EIF3B
3227,EIF3C
3228,EIF3D
3229,EIF3E
3230,EIF3F
3231,EIF3G
3232,EIF3H
3233,EIF3I
3234,EIF3K
3235,EIF3L
3236,EIF3M
3237,EIF4A1
3238,EIF4A2
3239,EIF4A3
3240,EIF4B
3241,EIF4E
3242,EIF4E2
3243,EIF4E3
3244,EIF4EBP1
