,index
394,ADGRD1
395,ADGRE1
396,ADGRE5
397,ADGRF3
398,ADGRF4
399,ADGRF5
400,ADGRG1
401,ADGRG2
402,ADGRG3
403,ADGRG5
404,ADGRG6
405,ADGRL1
406,ADGRL2
407,ADGRL3
408,ADGRL4
409,ADH1C
410,ADH5
411,ADH7
412,ADHFE1
413,ADI1
414,ADIPOR1
415,ADIPOR2
416,ADK
417,ADM
418,ADNP2
419,ADO
420,ADORA1
421,ADORA2A
422,ADORA2B
423,ADPGK
424,ADPRH
425,ADPRHL2
426,ADPRM
427,ADRA1A
428,ADRA1B
429,ADRA2A
430,ADRB1
431,ADRB2
432,ADRB3
433,ADRM1
434,ADSL
435,ADSS
436,ADSSL1
437,ADTRP
438,AEBP1
439,AEBP2
440,AEN
441,AES
442,AFAP1
443,AFAP1L1
444,AFAP1L2
445,AFDN
446,AFF1
447,AFF3
448,AFF4
449,AFG3L2
450,AFP
451,AFTPH
452,AGA
453,AGAP1
454,AGAP2
455,AGAP3
456,AGBL2
457,AGBL3
458,AGBL5
459,AGER
460,AGFG1
461,AGFG2
462,AGGF1
463,AGK
464,AGL
465,AGMO
466,AGO1
467,AGO2
468,AGO3
469,AGO4
470,AGPAT1
471,AGPAT2
472,AGPAT3
473,AGPAT4
474,AGPAT5
475,AGPS
476,AGR2
477,AGRN
478,AGT
479,AGTPBP1
480,AGTR1
481,AGTR2
482,AGTRAP
483,AHCTF1
484,AHCY
485,AHCYL1
486,AHCYL2
487,AHDC1
488,AHI1
489,AHNAK
490,AHNAK2
491,AHR
492,AHRR
493,AHSA1
494,AIDA
495,AIF1
496,AIF1L
497,AIFM1
498,AIFM2
499,AIG1
500,AIM2
501,AIMP1
502,AIMP2
503,AIP
504,AJUBA
505,AK1
506,AK2
507,AK3
508,AK4
509,AK5
510,AK6
511,AK7
512,AKAP1
513,AKAP10
514,AKAP11
515,AKAP12
516,AKAP13
517,AKAP6
518,AKAP7
519,AKAP8
520,AKAP8L
521,AKIP1
522,AKIRIN1
523,AKIRIN2
524,AKNA
525,AKNAD1
526,AKR1A1
527,AKR1B1
528,AKR1B10
529,AKR1E2
530,AKR7A2
531,AKT1
532,AKT1S1
533,AKT2
534,AKT3
535,AKTIP
536,ALAD
537,ALAS1
538,ALAS2
539,ALB
540,ALCAM
541,ALDH16A1
542,ALDH18A1
543,ALDH1A1
544,ALDH1A2
545,ALDH1A3
546,ALDH1B1
547,ALDH1L1
548,ALDH1L2
549,ALDH2
550,ALDH3A1
551,ALDH3A2
552,ALDH3B1
553,ALDH4A1
554,ALDH5A1
555,ALDH6A1
556,ALDH7A1
557,ALDH9A1
558,ALDOA
559,ALDOC
560,ALG1
561,ALG10
562,ALG11
563,ALG12
564,ALG14
565,ALG2
566,ALG3
567,ALG5
568,ALG6
569,ALG8
570,ALG9
571,ALKBH1
572,ALKBH2
573,ALKBH3
574,ALKBH4
575,ALKBH5
576,ALKBH6
577,ALKBH7
578,ALKBH8
579,ALMS1
580,ALOX12
581,ALOX5
582,ALOX5AP
583,ALOX15B
584,ALPK1
585,ALPK3
586,ALPL
587,ALS2
588,ALS2CL
589,ALS2CR12
590,AMACR
591,AMBRA1
592,AMDHD1
593,AMDHD2
594,AMER1
595,AMER2
596,AMFR
597,AMIGO1
598,AMIGO2
599,AMIGO3
600,AMMECR1
601,AMMECR1L
602,AMN1
603,AMOT
604,AMOTL1
605,AMOTL2
606,AMPD2
607,AMPD3
608,AMPH
609,AMT
610,AMY2A
611,AMZ1
612,ANAPC1
613,ANAPC10
614,ANAPC11
615,ANAPC13
616,ANAPC16
617,ANAPC2
618,ANAPC4
619,ANAPC5
620,ANAPC7
621,ANG
622,ANGEL1
623,ANGEL2
624,ANGPT1
625,ANGPT2
626,ANGPT4
627,ANGPTL1
628,ANGPTL2
629,ANGPTL3
630,ANGPTL4
631,ANGPTL6
632,ANGPTL7
633,ANGPTL8
634,ANKH
635,ANK3
636,ANKDD1A
637,ANKDD1B
638,ANKEF1
639,ANKFN1
640,ANKFY1
641,ANKIB1
642,ANKLE2
643,ANKMY1
644,ANKMY2
645,ANKRA2
646,ANKRD10
647,ANKRD11
648,ANKRD12
649,ANKRD13A
650,ANKRD13B
651,ANKRD13C
652,ANKRD13D
653,ANKRD16
654,ANKRD17
655,ANKRD22
656,ANKRD23
657,ANKRD24
658,ANKRD26
659,ANKRD27
660,ANKRD28
661,ANKRD29
662,ANKRD33B
663,ANKRD35
664,ANKRD37
665,ANKRD39
666,ANKRD40
667,ANKRD42
668,ANKRD44
669,ANKRD46
670,ANKRD49
671,ANKRD52
672,ANKRD54
673,ANKRD55
674,ANKRD6
675,ANKRD9
676,ANKS1A
677,ANKS3
678,ANKS6
679,ANKZF1
680,ANLN
681,ANO1
682,ANO10
683,ANO6
684,ANO7
685,ANO8
686,ANO9
687,ANPEP
688,ANTXR1
689,ANTXR2
690,ANXA1
691,ANXA11
692,ANXA13
693,ANXA2
694,ANXA3
695,ANXA4
696,ANXA5
697,ANXA6
698,ANXA7
699,ANXA9
700,AOAH
701,AOC2
702,AOC3
703,AOX1
704,AP1AR
705,AP1B1
706,AP1G1
707,AP1G2
708,AP1M1
709,AP1M2
710,AP1S1
711,AP1S2
712,AP1S3
713,AP2A1
714,AP2A2
715,AP2M1
716,AP2S1
717,AP3B1
718,AP3D1
719,AP3M1
720,AP3M2
721,AP3S1
722,AP3S2
723,AP4B1
724,AP4E1
725,AP4M1
726,AP4S1
727,AP5B1
728,AP5M1
729,AP5S1
730,AP5Z1
731,APAF1
732,APBA1
733,APBA2
734,APBA3
735,APBB1
736,APBB1IP
737,APBB2
738,APC
739,APC2
740,APCDD1
741,APEH
742,APEX1
743,APEX2
744,APH1A
745,APH1B
746,API5
747,APIP
748,APLF
749,APLN
750,APLNR
751,APLP1
752,APLP2
753,APMAP
754,APOA1
755,APOA2
756,APOBEC1
757,APOBEC2
758,APOBEC3B
759,APOBR
760,APOD
761,APOE
762,APOL6
763,APOL2
764,Apol9b
765,APOLD1
766,APOO
767,APOOL
768,APOPT1
769,APP
770,APPBP2
771,APPL1
772,APPL2
773,APRT
774,APTX
775,AQP1
776,AQP11
777,AQP3
778,AQP7
779,AQP9
780,AQR
781,AR
782,ARAF
783,ARAP1
784,ARAP2
785,ARAP3
786,ARC
787,ARCN1
788,AREG
789,AREL1
790,ARF1
791,ARF3
792,ARF4
793,ARF5
794,ARF6
795,ARFGAP1
796,ARFGAP2
797,ARFGAP3
798,ARFGEF1
799,ARFGEF2
800,ARFGEF3
801,ARFIP1
802,ARFIP2
803,ARFRP1
804,ARG1
805,ARG2
806,ARGLU1
807,ARHGAP1
808,ARHGAP10
809,ARHGAP11A
810,ARHGAP12
811,ARHGAP15
812,ARHGAP17
813,ARHGAP18
814,ARHGAP19
815,ARHGAP20
816,ARHGAP21
817,ARHGAP22
818,ARHGAP23
819,ARHGAP24
820,ARHGAP25
821,ARHGAP26
822,ARHGAP27
823,ARHGAP28
824,ARHGAP29
825,ARHGAP30
826,ARHGAP31
827,ARHGAP32
828,ARHGAP33
829,ARHGAP35
830,ARHGAP39
831,ARHGAP4
832,ARHGAP40
833,ARHGAP42
834,ARHGAP44
835,ARHGAP45
836,ARHGAP5
837,ARHGAP6
838,ARHGAP9
839,ARHGDIA
840,ARHGDIB
841,ARHGDIG
842,ARHGEF1
843,ARHGEF10
844,ARHGEF10L
845,ARHGEF11
846,ARHGEF12
847,ARHGEF15
848,ARHGEF16
849,ARHGEF17
850,ARHGEF18
851,ARHGEF19
852,ARHGEF2
853,ARHGEF25
854,ARHGEF26
855,ARHGEF28
856,ARHGEF3
857,ARHGEF33
858,ARHGEF39
859,ARHGEF4
860,ARHGEF40
861,ARHGEF5
862,ARHGEF6
863,ARHGEF7
864,ARHGEF9
865,ARID1A
866,ARID1B
867,ARID2
868,ARID3A
869,ARID3B
870,ARID4A
871,ARID4B
872,ARID5A
873,ARID5B
874,ARIH1
875,ARIH2
876,ARL1
877,ARL10
878,ARL11
879,ARL13B
880,ARL14EP
881,ARL15
882,ARL16
883,ARL2
884,ARL2BP
885,ARL3
886,ARL4A
887,ARL4C
888,ARL4D
889,ARL5A
890,ARL5B
891,ARL5C
892,ARL6
893,ARL6IP1
894,ARL6IP4
895,ARL6IP5
896,ARL6IP6
897,ARL8A
898,ARL8B
899,ARMC1
900,ARMC10
901,ARMC2
902,ARMC5
903,ARMC6
904,ARMC7
905,ARMC8
906,ARMC9
907,ARMCX1
908,ARMCX2
909,ARMCX3
910,ARMCX4
911,ARMCX5
912,ARMCX6
913,ARMT1
914,ARNT
915,ARNTL
916,ARNTL2
917,ARPC1A
918,ARPC1B
919,ARPC2
920,ARPC3
921,ARPC4
922,ARPC5
923,ARPC5L
924,ARPP19
925,ARRB1
926,ARRB2
927,ARRDC1
928,ARRDC2
929,ARRDC3
930,ARRDC4
931,ARSA
932,ARSB
933,ARSG
934,ARSI
935,ARSJ
936,ARSK
937,ART3
938,ART4
939,ART5
940,ARTN
941,ARV1
942,ARVCF
943,Arxes2
944,AS3MT
945,ASAH1
946,ASAH2
947,ASAP1
948,ASAP2
949,ASAP3
950,ASB1
951,ASB10
952,ASB11
953,ASB13
954,ASB16
955,ASB2
956,ASB4
957,ASB5
958,ASB6
959,ASB7
960,ASB8
961,ASCC1
962,ASCC2
963,ASCC3
964,ASCL2
965,ASCL3
966,ASF1A
967,ASF1B
968,ASGR2
969,ASH1L
970,ASH2L
971,ASL
972,ASNA1
973,ASNS
974,ASNSD1
975,ASPA
976,ASPG
977,ASPH
978,ASPHD2
979,ASPN
980,ASPSCR1
981,ASRGL1
982,ASS1
983,ASTE1
984,ASTN1
985,ASTN2
986,ASXL1
987,ASXL2
988,ASXL3
989,ASZ1
990,ATAD1
991,ATAD2
992,ATAD2B
993,ATAD3A
994,ATAD5
995,ATAT1
996,ATE1
997,ATF2
998,ATF3
999,ATF4
1000,ATF5
1001,ATF6
1002,ATF6B
1003,ATF7
1004,ATF7IP
1005,ATG10
1006,ATG101
1007,ATG12
1008,ATG13
1009,ATG14
1010,ATG16L1
1011,ATG16L2
1012,ATG2A
1013,ATG2B
1014,ATG3
1015,ATG4A
1016,ATG4B
1017,ATG4C
1018,ATG4D
1019,ATG5
1020,ATG7
1021,ATG9A
1022,ATG9B
1023,ATIC
1024,ATL1
1025,ATL2
1026,ATL3
1027,ATM
1028,ATMIN
1029,ATN1
1030,ATOH8
1031,ATOX1
1032,ATP10A
1033,ATP10B
1034,ATP11A
1035,ATP11B
1036,ATP11C
1037,ATP13A1
1038,ATP13A2
1039,ATP13A3
1040,ATP1A1
1041,ATP1A2
1042,ATP1A3
1043,ATP1B1
1044,ATP1B2
1045,ATP1B3
1046,ATP23
1047,ATP2A1
1048,ATP2A2
1049,ATP2A3
